model,strategy,article_id,error_type,category,entity,detail
gemma3,few_shot,art_000,false_positive_entity,companies,advanced research projects agency for health,
gemma3,few_shot,art_000,false_positive_entity,companies,agency for healthcare research and quality,
gemma3,few_shot,art_000,false_positive_entity,companies,centers for medicare and medicaid,
gemma3,few_shot,art_000,false_positive_entity,companies,department of health and human services,
gemma3,few_shot,art_000,false_positive_entity,companies,emory university,
gemma3,few_shot,art_000,false_positive_entity,companies,federal trade commission,
gemma3,few_shot,art_000,false_positive_entity,companies,federation of american scientists,
gemma3,few_shot,art_000,false_positive_entity,companies,food and drug administration,
gemma3,few_shot,art_000,false_positive_entity,companies,international air transport association,
gemma3,few_shot,art_000,false_positive_entity,companies,mackinac center for public policy,
gemma3,few_shot,art_000,false_positive_entity,companies,mit,
gemma3,few_shot,art_000,false_positive_entity,companies,national institute of health,
gemma3,few_shot,art_000,false_positive_entity,companies,national transportation safety board,
gemma3,few_shot,art_000,false_positive_entity,companies,office of civil rights,
gemma3,few_shot,art_000,false_positive_entity,companies,quanta computing,
gemma3,few_shot,art_000,false_positive_entity,companies,stanford university,
gemma3,few_shot,art_000,false_positive_entity,companies,university of adelaide,
gemma3,few_shot,art_000,false_positive_entity,companies,university of california san francisco,
gemma3,few_shot,art_000,false_positive_entity,companies,volkswagen foundation,
gemma3,few_shot,art_000,false_positive_entity,companies,world health organization,
gemma3,few_shot,art_000,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_000,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_001,false_positive_entity,companies,beantown taqueria,
gemma3,few_shot,art_001,false_positive_entity,companies,mit computer science and artificial intelligence laboratory,
gemma3,few_shot,art_001,false_positive_entity,companies,mit lincoln laboratory,
gemma3,few_shot,art_001,false_positive_entity,companies,stanford university,
gemma3,few_shot,art_001,false_positive_entity,models,gemini,
gemma3,few_shot,art_001,false_positive_entity,technologies,multimodal ai,
gemma3,few_shot,art_001,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_002,false_positive_entity,companies,argonne national laboratory,
