model,strategy,category,tp,fp,fn,precision,recall,f1
gemma3,few_shot,companies,163,427,23,0.2763,0.8763,0.4201
gemma3,few_shot,models,110,87,23,0.5584,0.8271,0.6667
gemma3,few_shot,technologies,74,171,5,0.302,0.9367,0.4568
gemma3,few_shot,overall,347,685,51,0.3362,0.8719,0.4853
gemma3,structured,companies,163,445,23,0.2681,0.8763,0.4106
gemma3,structured,models,114,97,19,0.5403,0.8571,0.6628
gemma3,structured,technologies,74,224,5,0.2483,0.9367,0.3926
gemma3,structured,overall,351,766,47,0.3142,0.8819,0.4634
gemma3,zero_shot,companies,166,441,20,0.2735,0.8925,0.4187
gemma3,zero_shot,models,113,101,20,0.528,0.8496,0.6513
gemma3,zero_shot,technologies,74,193,5,0.2772,0.9367,0.4277
gemma3,zero_shot,overall,353,735,45,0.3244,0.8869,0.4751
llama3,few_shot,companies,159,377,27,0.2966,0.8548,0.4404
llama3,few_shot,models,108,31,25,0.777,0.812,0.7941
llama3,few_shot,technologies,45,96,34,0.3191,0.5696,0.4091
llama3,few_shot,overall,312,504,86,0.3824,0.7839,0.514
llama3,structured,companies,154,276,32,0.3581,0.828,0.5
llama3,structured,models,116,59,17,0.6629,0.8722,0.7532
llama3,structured,technologies,73,372,6,0.164,0.9241,0.2786
llama3,structured,overall,343,707,55,0.3267,0.8618,0.4738
llama3,zero_shot,companies,161,346,25,0.3176,0.8656,0.4646
llama3,zero_shot,models,111,48,22,0.6981,0.8346,0.7603
llama3,zero_shot,technologies,79,379,0,0.1725,1.0,0.2942
llama3,zero_shot,overall,351,773,47,0.3123,0.8819,0.4612
